action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
0.00,-556.76,-581.60,-562.55,-527.31,-527.31,9.33,5.29
0.50,-556.76,-563.85,-557.06,-564.14,-557.06,1.20,-0.05
1.00,-556.76,-611.49,-577.61,-612.12,-577.61,5.54,-3.74
1.50,-556.76,-679.71,-624.46,-724.30,-624.46,8.13,-12.16
2.00,-556.76,-818.55,-699.77,-856.15,-699.77,14.51,-25.69
2.50,-556.76,-960.39,-758.67,-1071.52,-758.67,21.00,-36.26
3.00,-556.76,-1067.45,-864.20,-1252.52,-864.20,19.04,-55.22
