action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
0.00,-556.76,-559.87,-562.54,-548.75,-548.75,1.99,1.44
0.50,-556.76,-565.42,-571.11,-567.16,-567.16,-0.31,-1.87
1.00,-556.76,-614.28,-564.64,-606.70,-564.64,8.08,-1.41
1.50,-556.76,-693.89,-601.77,-763.91,-601.77,13.28,-8.08
2.00,-556.76,-809.07,-668.35,-896.91,-668.35,17.39,-20.04
2.50,-556.76,-938.56,-745.59,-1061.19,-745.59,20.56,-33.91
3.00,-556.76,-1075.26,-865.54,-1246.50,-865.54,19.50,-55.46
