episode,run_0,run_1,run_2
500,-1.271864550904825,-4.677971868330407,-3.6812012416208844
1000,-1.8321878529571833,-5.880955512701339,-4.725859368656462
1500,-0.498094955535556,1.4274102280474865,-1.9251207544761746
2000,6.942430738626421,8.433462637217627,9.934764897357057
2500,6.83776623166599,5.098966170920367,9.19459480103657
3000,6.65023946247756,6.296980456290274,8.67357938039437
3500,7.0129218091370715,7.511453085326457,11.117325648114514
4000,9.37047309751772,11.330997673420823,12.758210001351221
4500,11.598909060668563,21.585048370120507,15.014800277200205
5000,13.653116414947192,64.66022945768269,27.29733323974498
5500,15.898898766909443,80.50259493910423,39.800518636309846
6000,20.460154959291515,48.65874726216287,31.59491601599688
6500,24.068061597822123,45.519829818203846,34.80936753335855
7000,21.520456665565966,64.52983057135843,28.328751590391416
7500,24.00456701879702,58.916465018037904,13.102953060641306
8000,23.823390753294404,62.27896804222872,8.57930709508497
8500,26.99689737811802,41.734193291461345,4.306729761641467
9000,29.049651260317667,32.41254118705332,10.032953486080233
9500,35.5997006792236,25.975426395257017,9.617906581919826
10000,30.129198417196363,24.382593098034146,11.67196774336306
