episode,run_0,run_1,run_2
500,-5.513730833828195,-0.7616531116389444,-1.1601698869637584
1000,-4.668755774775509,-3.0543441168313548,-2.066949471141098
1500,0.40415841139499276,-11.940919339782804,2.815422868879947
2000,5.988491477180436,5.669261720376448,4.724036466757947
2500,7.4727791380635145,7.929894162959025,6.325524912481577
3000,8.917091648456845,8.470160668654534,8.077582213398424
3500,9.877878562257543,7.829103072780689,8.13384707747877
4000,12.784474367059675,10.321738217848392,9.150668176387576
4500,20.518469372626235,15.012903453773408,10.840072891718618
5000,33.52608822111925,16.09862832446251,19.52552873338068
5500,46.02157873382437,26.848272613691993,23.63831843287096
6000,36.15463164487956,36.1253465684578,52.97774986018255
6500,7.468862047374416,60.566602783535984,64.99165957774038
7000,5.068965496049635,31.185720749482293,45.24826009003047
7500,9.766386646401276,21.588417331265408,33.89158506249955
8000,17.477063962948503,12.304371358023642,29.18426427579217
8500,20.86569975667195,13.009924126876367,27.15049467916802
9000,25.378371398811087,11.855583426680573,21.9834068983529
9500,24.38644151980396,11.954263147410918,28.668527133398424
10000,29.70422589271771,10.074715316208756,31.05910923657102
