episode,run_0_mean,run_0_agent_0,run_0_agent_1,run_0_agent_2,run_0_agent_3,run_1_mean,run_1_agent_0,run_1_agent_1,run_1_agent_2,run_1_agent_3,run_2_mean,run_2_agent_0,run_2_agent_1,run_2_agent_2,run_2_agent_3
100,-2.524027265104249,1.2,1.2,1.2,-6.124027265104249,-2.836151067224316,2.1,2.1,2.1,-9.136151067224317,-1.0525197505480977,3.3,3.3,3.3,-10.952519750548099
200,-1.505052516525188,1.9,1.9,1.9,-7.205052516525188,-0.7075391185689458,3.1,3.1,3.1,-10.007539118568946,-1.9054372204836212,2.2,2.2,2.2,-8.505437220483621
