action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
0.00,-47.38,-62.38,-63.25,-62.65,-62.65,-0.43,-32.24
0.50,-47.38,-57.19,-56.89,-68.07,-56.89,0.52,-20.08
1.00,-47.38,-65.42,-64.66,-58.77,-58.77,10.17,-24.04
1.50,-47.38,-123.81,-66.25,-65.43,-65.43,47.15,-38.11
2.00,-47.38,-279.71,-66.42,-69.41,-66.42,76.25,-40.20
2.50,-47.38,-507.35,-68.17,-57.36,-57.36,88.69,-21.08
3.00,-47.38,-609.45,-79.16,-59.46,-59.46,90.24,-25.51
