action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
0.00,-47.38,-58.15,-70.64,-59.29,-59.29,-1.95,-25.14
0.50,-47.38,-67.09,-59.66,-68.52,-59.66,11.07,-25.93
1.00,-47.38,-89.81,-63.52,-69.45,-63.52,29.28,-34.07
1.50,-47.38,-148.01,-69.97,-61.79,-61.79,58.25,-30.41
2.00,-47.38,-304.55,-61.53,-63.81,-61.53,79.80,-29.87
2.50,-47.38,-502.03,-71.31,-68.91,-68.91,86.27,-45.45
3.00,-47.38,-742.87,-74.83,-64.69,-64.69,91.29,-36.53
