action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
0.00,-9.86,-11.01,-12.12,-12.12,-12.12,-10.00,-22.82
0.50,-9.86,-12.50,-11.51,-11.36,-11.36,9.12,-15.16
1.00,-9.86,-19.21,-11.65,-12.30,-11.65,39.38,-18.07
1.50,-9.86,-28.15,-12.61,-12.77,-12.61,55.22,-27.79
2.00,-9.86,-37.57,-14.96,-12.88,-12.88,65.71,-30.59
2.50,-9.86,-41.86,-18.57,-13.71,-13.71,67.26,-38.96
3.00,-9.86,-58.53,-19.64,-15.75,-15.75,73.09,-59.62
